Project:  Niwot,,,,,,,,,,,,,,,,,,,
Experiment:  Salix/ITEX,,,,,,,,,,,,,,,,,,,
Date: 7/18/2014,,,,,,,,,,,,,,,,,,,
Data Description: Willow seedling transplant survival and growth survey,,,,,,,,,,,,,,,,,,,
Protocol:,,,,,,,,,,,,,,,,,,,
CSV File & Path:,,,,,,,,,,,,,,,,,,,
"Names of Data Takers:  Jane Smith, Riva Madan, Connor Bernard, Sam Sartwell, Jared Huxley",,,,,,,,,,,,,,,,,,,
"Column Info: all variables measurements are in cm; 'variables'  measured for each transplanted willow seedling were: 'ht1' =  willow height to the tip of the stem (including new green stem growth and buds), 'ht2' = willow height to the tip of the highest leaf, pulling the leaf up to measure, 'cnpy1' = width of longest axis of shrub canopy looking down from above, 'cnpy2' = width of canopy axis perpendicular to cnpy1; willow seedlings were transplanted into plots in 2007 (w_1-10) and 2006 (w_A-C)",,,,,,,,,,,,,,,,,,,
"Abbreviations & Definitions: 'code' = plot treatment in which the first letter indicates snow addition (P), second letter nitrogen addition (N), and third letter temp warming (W), where 'X' = control treatment for each of the three factors; 'w_1-10' are willow seeding numbers 1-10 and 'w_A-C' are willow transplants A-C; 'dead' = confirmed dead, 'CF' = can't find",,,,,,,,,,,,,,,,,,,
"column headers: block, plot, code, snow, n, temp, variable, w_1-10, w_A-C",,,,,,,,,,,,,,,,,,,
block,plot,code,snow,n,temp,variable,w_1,w_2,w_3,w_4,w_5,w_6,w_7,w_8,w_9,w_10,w_A,w_B,w_C
,,,,,,cnpy2,,,,,,1.5,,,,,,,
,,,,,,notes,,,,,,adjacent to dead stem,,,,,,,
1,6,XXX,X,X,X,ht1,CF,CF,CF,CF,CF,CF,CF,CF,CF,CF,CF,CF,CF
,,,,,,ht2,,,,,,,,,,,,,
,,,,,,cnpy1,,,,,,,,,,,,,
,,,,,,cnpy2,,,,,,,,,,,,,
,,,,,,notes,,,,,,,,,,,,,
1,7,XNX,X,N,X,ht1,CF,CF,CF,CF,CF,CF,CF,CF,CF,CF,CF,CF,CF
,,,,,,ht2,,,,,,,,,,,,,
,,,,,,cnpy1,,,,,,,,,,,,,
,,,,,,cnpy2,,,,,,,,,,,,,
,,,,,,notes,,,,,,"broken off dead stem found in this location, so probably dead",,,,,,,
1,8,XXW,X,X,W,ht1,CF,CF,CF,CF,CF,CF,CF,CF,CF,CF,CF,CF,CF
,,,,,,ht2,,,,,,,,,,,,,
,,,,,,cnpy1,,,,,,,,,,,,,
,,,,,,cnpy2,,,,,,,,,,,,,
,,,,,,notes,,,,,,,,,,,,,
1,9,PNW,P,N,W,ht1,CF,CF,CF,CF,CF,CF,CF,CF,CF,CF,CF,CF,CF
,,,,,,ht2,,,,,,,,,,,,,
,,,,,,cnpy1,,,,,,,,,,,,,
,,,,,,cnpy2,,,,,,,,,,,,,
,,,,,,notes,,,,,,,,,,,,,
1,10,PNX,P,N,X,ht1,CF,CF,CF,CF,CF,7.4,CF,CF,14,CF,CF,CF,CF
,,,,,,ht2,,,,,,9.9,,,17.3,,,,
,,,,,,cnpy1,,,,,,2.5,,,7,,,,
,,,,,,cnpy2,,,,,,1,,,5.5,,,,
,,,,,,notes,,,,,,,,,,,,,
1,11,PXW,P,X,W,ht1,CF,CF,CF,CF,CF,CF,CF,16.75,CF,CF,CF,CF,CF
,,,,,,ht2,,,,,,,,18,,,,,
,,,,,,cnpy1,,,,,,,,12,,,,,
,,,,,,cnpy2,,,,,,,,9,,,,,
,,,,,,notes,,,,,,,,10.5,,,,,
1,12,PXX,P,X,X,ht1,CF,CF,CF,CF,CF,10.5,CF,5.5,6.25,8.25,CF,CF,2.5
,,,,,,ht2,,,,,,13,,7.25,7.5,11.25,,,4
,,,,,,cnpy1,,,,,,13,,3.5,5,5,,,4.25
,,,,,,cnpy2,,,,,,4,,2.75,2.5,3,,,2.25
,,,,,,notes,,,,,,,,,,,,,
1,13,PNW,P,N,W,ht1,CF,CF,CF,CF,CF,CF,CF,CF,CF,CF,CF,CF,CF
,,,,,,ht2,,,,,,,,,,,,,
,,,,,,cnpy1,,,,,,,,,,,,,
,,,,,,cnpy2,,,,,,,,,,,,,
,,,,,,notes,,,,,,,,,,,,,
1,14,PXW,P,X,W,ht1,CF,CF,CF,CF,CF,6.9,6,CF,CF,CF,CF,CF,CF
,,,,,,ht2,,,,,,9.5,8.2,,,,,,
,,,,,,cnpy1,,,,,,3.9,4.2,,,,,,
,,,,,,cnpy2,,,,,,2.2,1.8,,,,,,
,,,,,,notes,,,,,,,,,,,,,
1,15,PNX,P,N,X,ht1,CF,CF,CF,CF,CF,CF,CF,CF,CF,CF,CF,CF,CF
,,,,,,ht2,,,,,,,,,,,,,
,,,,,,cnpy1,,,,,,,,,,,,,
,,,,,,cnpy2,,,,,,,,,,,,,
,,,,,,notes,,,,,,,,,,,,,
1,16,PXX,P,X,X,ht1,CF,CF,CF,CF,CF,CF,CF,CF,CF,CF,CF,CF,CF
,,,,,,ht2,,,,,,,,,,,,,
,,,,,,cnpy1,,,,,,,,,,,,,
,,,,,,cnpy2,,,,,,,,,,,,,
,,,,,,notes,,,,,,,,,,,,,
2,17,XNX,X,N,X,ht1,CF,CF,CF,CF,CF,CF,CF,CF,CF,CF,CF,CF,CF
,,,,,,ht2,,,,,,,,,,,,,
,,,,,,cnpy1,,,,,,,,,,,,,
,,,,,,cnpy2,,,,,,,,,,,,,
,,,,,,notes,,,,,,,,,,,,,
2,18,XXW,X,X,W,ht1,CF,5,CF,11.5,3.5,CF,8.5,16.5,14.75,15,CF,CF,CF
,,,,,,ht2,,7.25,,14.5,7,,10.75,19.25,17.25,17.25,,,
,,,,,,cnpy1,,4,,7,5,,7,10.5,10,11.5,,,
,,,,,,cnpy2,,2.5,,5,2.5,,2.5,8,6,10,,,
,,,,,,notes,,,,,,,,,,,,,
2,19,XNW,X,N,W,ht1,CF,CF,CF,CF,CF,CF,CF,CF,CF,CF,CF,CF,CF
,,,,,,ht2,,,,,,,,,,,,,
,,,,,,cnpy1,,,,,,,,,,,,,
,,,,,,cnpy2,,,,,,,,,,,,,
,,,,,,notes,,,,,,,,,,,,,
2,20,XNX,X,N,X,ht1,CF,CF,CF,CF,CF,CF,CF,CF,CF,CF,CF,CF,CF
,,,,,,ht2,,,,,,,,,,,,,
,,,,,,cnpy1,,,,,,,,,,,,,
,,,,,,cnpy2,,,,,,,,,,,,,
,,,,,,notes,,,,,,,,,,,,,
2,21,XXW,X,X,W,ht1,CF,CF,CF,4,CF,CF,CF,CF,CF,CF,CF,CF,CF
,,,,,,ht2,,,,,,,,,,,,,
,,,,,,cnpy1,,,,,,,,,,,,,
,,,,,,cnpy2,,,,,,,,,,,,,
,,,,,,notes,,,,dead,,,,,,,,,
2,22,XXX,X,X,X,ht1,CF,CF,CF,CF,6.6,18.2,12.9,CF,10,CF,CF,CF,CF
,,,,,,ht2,,,,,9.4,21.5,14.7,,12.8,,,,
,,,,,,cnpy1,,,,,6.8,15.2,9.2,,6.1,,,,
,,,,,,cnpy2,,,,,5.2,7.3,5.7,,4.7,,,,
,,,,,,notes,,,,,,,,,,,,,
2,23,XNW,X,N,W,ht1,CF,13.9,14.7,CF,CF,CF,CF,13.9,12.8,14,CF,CF,CF
,,,,,,ht2,,17.9,,,,,,,,,,,
,,,,,,cnpy1,,5.4,,,,,,,,,,,
,,,,,,cnpy2,,3.2,,,,,,,,,,,
,,,,,,notes,,,dead,,,,,dead,dead ,dead,,,
2,24,XXX,X,X,X,ht1,CF,11.6,7.7,4.5,5,CF,CF,10.1,CF,CF,CF,CF,CF
,,,,,,ht2,,14.5,,,8,,,12.7,,,,,
,,,,,,cnpy1,,12.5,,,3,,,6,,,,,
,,,,,,cnpy2,,6.5,,,2.5,,,5,,,,,
,,,,,,notes,,,dead,dead,,,,,,,,,
2,25,PNX,P,N,X,ht1,CF,CF,8.9,CF,CF,CF,CF,CF,CF,CF,CF,CF,CF
,,,,,,ht2,,,,,,,,,,,,,
,,,,,,cnpy1,,,,,,,,,,,,,
,,,,,,cnpy2,,,,,,,,,,,,,
,,,,,,notes,,,dead; may actually be willow 5ƒ ,,,,,,,,,,
2,26,PXX,P,X,X,ht1,CF,CF,CF,15,CF,15.5,6,9,CF,10.5,CF,CF,CF
,,,,,,ht2,,,,17.5,,18.5,8.5,11.5,,11,,,
,,,,,,cnpy1,,,,12,,9,5,6,,8,,,
,,,,,,cnpy2,,,,10,,7.5,6.5,3,,5.5,,,
,,,,,,notes,,,,,,,,,,,,,
2,27,PNW,P,N,W,ht1,CF,CF,CF,CF,CF,26.7,CF,CF,CF,30.8,CF,CF,CF
,,,,,,ht2,,,,,,28.7,,,,33.4,,,
,,,,,,cnpy1,,,,,,15.6,,,,28.4,,,
,,,,,,cnpy2,,,,,,13.2,,,,17.6,,,
,,,,,,notes,,,,,,,,,,,,,
2,28,PXW,P,X,W,ht1,17.5,CF,10.5,CF,CF,CF,17.5,CF,10.5,CF,17,CF,CF
,,,,,,ht2,20,,14.5,,,,20,,14.8,,19,,
,,,,,,cnpy1,21,,6,,,,10.5,,10,,14.3,,
,,,,,,cnpy2,18,,7.3,,,,6,,7,,7,,
,,,,,,notes,,,,,,,,,,,,,
2,29,PXW,P,X,W,ht1,6.8,11.9,dead,CF,3.5,CF,4.5,5,CF,CF,CF,CF,CF
,,,,,,ht2,10.2,15.3,,,5,,7,7.8,,,,,
,,,,,,cnpy1,6,11,,,2.5,,4,7,,,,,
,,,,,,cnpy2,5.6,10,,,2,,3,5,,,,,
,,,,,,notes,,,,,,,,,,,,,
2,30,PNW,P,N,W,ht1,CF,CF,CF,CF,CF,CF,CF,CF,CF,CF,CF,CF,CF
,,,,,,ht2,,,,,,,,,,,,,
,,,,,,cnpy1,,,,,,,,,,,,,
,,,,,,cnpy2,,,,,,,,,,,,,
,,,,,,notes,,,,,,,,,,,,,
2,31,PXX,P,X,X,ht1,CF,3,2.5,CF,CF,11.9,6.4,CF,CF,4.8,CF,CF,CF
,,,,,,ht2,,4.9,4.4,,,15.3,8.5,,,6.7,,,
,,,,,,cnpy1,,2.3,4.9,,,12.2,6,,,4.2,,,
,,,,,,cnpy2,,1.6,2.4,,,5.9,4.5,,,2.4,,,
,,,,,,notes,,,,,large severed salix found near willow 5 location; likely eaten by elk,,,,,,,,
2,32,PNX,P,N,X,ht1,10.5,CF,CF,CF,CF,CF,CF,CF,CF,CF,CF,CF,CF
,,,,,,ht2,12.7,,,,,,,,,,,,
,,,,,,cnpy1,7,,,,,,,,,,,,
,,,,,,cnpy2,4,,,,,,,,,,,,
,,,,,,notes,,,,,,,,,,,,,
3,33,XXX,X,X,X,ht1,CF,CF,CF,1.9,CF,CF,3.9,CF,CF,CF,CF,CF,CF
,,,,,,ht2,,,,3.4,,,5.6,,,,,,
,,,,,,cnpy1,,,,1.7,,,2.8,,,,,,
,,,,,,cnpy2,,,,1.4,,,1.4,,,,,,
,,,,,,notes,,,,,,,,,,,,,
3,34,XNW,X,N,W,ht1,CF,CF,CF,CF,CF,CF,CF,CF,CF,CF,CF,CF,CF
,,,,,,ht2,,,,,,,,,,,,,
,,,,,,cnpy1,,,,,,,,,,,,,
,,,,,,cnpy2,,,,,,,,,,,,,
,,,,,,notes,,,,,,,,,,,,,
3,35,XNX,X,N,X,ht1,CF,CF,CF,8,6.7,CF,CF,CF,CF,CF,CF,5.6,11.2
,,,,,,ht2,,,,9.6,,,,,,,,,
,,,,,,cnpy1,,,,3.1,,,,,,,,,
,,,,,,cnpy2,,,,1.2,,,,,,,,,
,,,,,,notes,,,,,dead ,,,,,,,leafless stem,dead
3,36,XNW,X,N,W,ht1,CF,CF,CF,11.8,CF,CF,11.8,CF,CF,10.2,14.4,CF,CF
,,,,,,ht2,,,,12.5,,,13.4,,,14.2,17.1,,
,,,,,,cnpy1,,,,2.2,,,4.4,,,3,10.3,,
,,,,,,cnpy2,,,,1,,,1.9,,,2.7,4.9,,
,,,,,,notes,,,,,,,,,,,,,
3,37,XNX,X,N,X,ht1,CF,CF,CF,CF,7.5,CF,CF,CF,CF,CF,CF,CF,dead
,,,,,,ht2,,,,,,,,,,,,,
,,,,,,cnpy1,,,,,,,,,,,,,
,,,,,,cnpy2,,,,,,,,,,,,,
,,,,,,notes,,,,,dead,,,,,,,,
3,38,XXW,X,X,W,ht1,CF,CF,CF,CF,CF,CF,CF,CF,CF,CF,9,4.5,CF
,,,,,,ht2,,,,,,,,,,,11.1,6.8,
,,,,,,cnpy1,,,,,,,,,,,8.7,3.1,
,,,,,,cnpy2,,,,,,,,,,,2,1.5,
,"*recorded as plot 36 on data sheet, but most likely plot 38",,,,,notes,,,,,,,,,,,,,
3,39,XXX,X,X,X,ht1,CF,dead,CF,CF,CF,CF,CF,CF,CF,CF,CF,CF,CF
,,,,,,ht2,,,,,,,,,,,,,
,,,,,,cnpy1,,,,,,,,,,,,,
,,,,,,cnpy2,,,,,,,,,,,,,
,,,,,,notes,,,,,,,,,,,,,
3,40,XXW,X,X,W,ht1,CF,CF,CF,CF,CF,CF,CF,CF,CF,CF,20,CF,CF
,,,,,,ht2,,,,,,,,,,,23,,
,,,,,,cnpy1,,,,,,,,,,,28.5,,
,,,,,,cnpy2,,,,,,,,,,,25,,
,,,,,,notes,,,,,,,,,,,,,
3,41,PXX,P,X,X,ht1,11,18.6,14.5,CF,CF,7.6,11.5,CF,CF,11.4,CF,14.7,10
,,,,,,ht2,12.5,21.3,17.9,,,9.5,13.8,,,13.7,,16.6,11.6
,,,,,,cnpy1,3.7,12.6,11.6,,,4.5,5.8,,,8.5,,15.4,6.2
,,,,,,cnpy2,2.1,10.5,11.4,,,1.6,4,,,7.4,,7.9,4.8
,,,,,,notes,,,,,,,,,,,,,
3,42,PNW,P,N,W,ht1,CF,CF,CF,CF,CF,CF,CF,CF,CF,13.6,CF,CF,CF
,,,,,,ht2,,,,,,,,,,15.7,,,
,,,,,,cnpy1,,,,,,,,,,2.7,,,
,,,,,,cnpy2,,,,,,,,,,2.5,,,
,,,,,,notes,,,,,,,,,,,,,
3,43,PNX,P,N,X,ht1,CF,CF,CF,CF,CF,22.5,CF,CF,CF,17,CF,CF,CF
,,,,,,ht2,,,,,,25,,,,18.7,,,
,,,,,,cnpy1,,,,,,4.8,,,,9.2,,,
,,,,,,cnpy2,,,,,,3.4,,,,4.1,,,
,,,,,,notes,,,,,,,,,,,,,
3,44,PXW,P,X,W,ht1,CF,CF,CF,CF,8.5,CF,21.5,CF,CF,CF,CF,CF,CF
,,,,,,ht2,,,,,10.3,,23,,,,,,
,,,,,,cnpy1,,,,,6,,10.2,,,,,,
,,,,,,cnpy2,,,,,2,,7,,,,,,
,,,,,,notes,,,,,,,,,,,,,
3,45,PXW,P,X,W,ht1,10,8,7,CF,18.75,19.75,14.25,13.5,10.75,12,8.5,12,CF
,,,,,,ht2,12.25,10,8.5,,21,22.25,16.5,17,13.5,14,10.5,14.5,
,,,,,,cnpy1,8,5.5,4.5,,17.5,18,11,9,18,15,7.5,8,
,,,,,,cnpy2,5,3,2.25,,14,14,9,4.5,13,7.5,4,8,
,,,,,,notes,,,,,,,,,,,,,
3,46,PXX,P,X,X,ht1,CF,CF,13.5,CF,CF,6.5,7,4,4.5,9.7,CF,12,11.5
,,,,,,ht2,,,15.5,,,8.4,9,5.5,7.5,11.8,,14,13.5
,,,,,,cnpy1,,,12,,,5,2.3,2,6,8.5,,6,3
,,,,,,cnpy2,,,5,,,3.5,1.8,2.5,4.5,3,,4.5,2.5
,,,,,,notes,,,,,,,,,,,,,
3,47,PNX,P,N,X,ht1,CF,CF,CF,CF,CF,CF,CF,CF,CF,CF,CF,CF,CF
,,,,,,ht2,,,,,,,,,,,,,
,,,,,,cnpy1,,,,,,,,,,,,,
,,,,,,cnpy2,,,,,,,,,,,,,
,,,,,,notes,,,,,,,,,,,,,
3,48,PNW,P,N,W,ht1,CF,CF,CF,CF,CF,CF,CF,CF,CF,CF,CF,CF,CF
,,,,,,ht2,,,,,,,,,,,,,
,,,,,,cnpy1,,,,,,,,,,,,,
,,,,,,cnpy2,,,,,,,,,,,,,
,,,,,,notes,,,,,,,,,,,,,
